STEP 0 | beam_size=1 | visited=6
STEP 12 | beam_size=100 | visited=835
(5, 51, -8, -4)
(5, 52, -8, -4)
(5, 53, -8, -4)
(14, 56, -6, 0)
(14, 55, -6, -2)
(5, 52, -8, -2)
(5, 54, -8, -2)
(15, 56, -6, 0)
(4, 51, -8, -4)
(4, 52, -8, -4)

STEP 13 | beam_size=87 | visited=940
(11, 54, -6, -2)
(10, 53, -6, -2)
(9, 52, -6, -4)
(11, 55, -6, -2)
(12, 55, -6, -2)
(9, 53, -6, -2)
(10, 54, -6, -2)
(10, 55, -6, -2)
(8, 52, -6, -4)
(9, 54, -6, -2)

STEP 14 | beam_size=100 | visited=976
(9, 53, -6, -4)
(8, 52, -6, -4)
(9, 54, -6, -2)
(8, 53, -6, -4)
(7, 52, -6, -4)
(8, 53, -6, -2)
(8, 54, -6, -2)
(7, 53, -6, -4)
(7, 53, -6, -2)
(7, 54, -6, -2)

STEP 15 | beam_size=69 | visited=1004
(4, 48, -6, -6)
(4, 49, -6, -4)
(3, 48, -6, -6)
(3, 48, -6, -6)
(3, 49, -6, -4)
(3, 49, -6, -4)
(48, 56, -2, 0)
(49, 56, -2, 0)
(24, 56, -4, 0)
(23, 56, -4, 0)

STEP 16 | beam_size=46 | visited=1031
(17, 56, -6, -2)
(19, 56, -4, 0)
(47, 56, -2, 0)
(46, 56, -2, 0)
(19, 56, -4, 0)
(18, 56, -4, 0)
(21, 56, -4, 0)
(18, 56, -6, -2)
(22, 56, -4, 0)
(20, 56, -4, 0)

STEP 17 | beam_size=40 | visited=1070
(12, 54, -6, -2)
(14, 56, -4, -2)
(14, 56, -4, 0)
(14, 55, -4, -2)
(15, 56, -4, 0)
(15, 56, -4, 0)
(15, 56, -4, -2)
(15, 56, -6, -2)
(17, 56, -4, 0)
(16, 56, -4, 0)

STEP 18 | beam_size=53 | visited=1161
(10, 52, -4, -4)
(10, 53, -4, -2)
(10, 54, -4, -2)
(10, 53, -4, -4)
(11, 54, -4, -2)
(11, 54, -4, -2)
(10, 55, -4, -2)
(11, 53, -4, -2)
(11, 55, -4, -2)
(12, 55, -4, -2)

STEP 19 | beam_size=100 | visited=1345
(7, 49, -4, -4)
(7, 50, -4, -4)
(7, 51, -4, -2)
(8, 51, -4, -2)
(8, 51, -4, -4)
(8, 50, -4, -4)
(7, 51, -4, -4)
(8, 49, -4, -4)
(8, 52, -4, -2)
(7, 52, -4, -2)

STEP 20 | beam_size=100 | visited=1438
(7, 50, -4, -2)
(7, 48, -4, -4)
(6, 46, -4, -4)
(7, 47, -4, -4)
(6, 47, -4, -4)
(6, 50, -4, -4)
(6, 49, -4, -4)
(6, 48, -4, -4)
(6, 50, -4, -2)
(7, 46, -4, -6)

STEP 21 | beam_size=100 | visited=1442
(4, 39, -4, -8)
(4, 40, -4, -6)
(4, 43, -4, -4)
(3, 38, -4, -8)
(3, 37, -4, -8)
(3, 39, -4, -8)
(3, 38, -4, -6)
(3, 39, -4, -6)
(3, 39, -4, -8)
(4, 48, -4, -2)

STEP 22 | beam_size=4 | visited=1442
(1, 31, -4, -8)
(1, 34, -4, -6)
(1, 39, -4, -4)
(1, 46, -4, -2)

